region_code,country,source_year,package_version,esp_pct,dfp_pct,lpi_score
AT,Austria,2023,revised_candidate_2023_mp16_74,25.97,77.17,4.0
BE,Belgium,2023,revised_candidate_2023_mp16_74,31.81,79.6,4.0
BG,Bulgaria,2023,revised_candidate_2023_mp16_74,15.1,23.43,3.2
CY,Cyprus,2023,revised_candidate_2023_mp16_74,23.5,70.86,3.2
CZ,Czechia,2023,revised_candidate_2023_mp16_74,24.67,79.84,3.3
DE,Germany,2023,revised_candidate_2023_mp16_74,22.2,57.22,4.1
DK,Denmark,2023,revised_candidate_2023_mp16_74,36.67,96.22,4.1
EE,Estonia,2023,revised_candidate_2023_mp16_74,22.33,84.89,3.4
EL,Greece,2023,revised_candidate_2023_mp16_74,20.01,52.01,3.4
ES,Spain,2023,revised_candidate_2023_mp16_74,33.62,71.45,3.9
FI,Finland,2023,revised_candidate_2023_mp16_74,30.49,94.48,4.0
FR,France,2023,revised_candidate_2023_mp16_74,16.84,72.41,3.9
HR,Croatia,2023,revised_candidate_2023_mp16_74,30.17,61.88,3.3
HU,Hungary,2023,revised_candidate_2023_mp16_74,23.11,65.52,3.3
IE,Ireland,2023,revised_candidate_2023_mp16_74,35.07,83.77,3.3
IT,Italy,2023,revised_candidate_2023_mp16_74,19.09,51.55,3.7
LT,Lithuania,2023,revised_candidate_2023_mp16_74,38.89,75.73,3.4
LU,Luxembourg,2023,revised_candidate_2023_mp16_74,13.44,71.14,3.4
LV,Latvia,2023,revised_candidate_2023_mp16_74,19.74,83.74,3.4
MT,Malta,2023,revised_candidate_2023_mp16_74,32.41,68.05,3.2
NL,Netherlands,2023,revised_candidate_2023_mp16_74,30.44,95.13,4.0
PL,Poland,2023,revised_candidate_2023_mp16_74,17.97,59.09,3.4
PT,Portugal,2023,revised_candidate_2023_mp16_74,17.97,58.88,3.3
RO,Romania,2023,revised_candidate_2023_mp16_74,12.92,21.89,3.2
SE,Sweden,2023,revised_candidate_2023_mp16_74,38.07,84.49,4.0
SI,Slovenia,2023,revised_candidate_2023_mp16_74,23.89,60.69,3.3
SK,Slovakia,2023,revised_candidate_2023_mp16_74,18.44,57.72,3.3
