region_code,country,source_year,package_version,gdp_pps_index
AT,Austria,2023,revised_candidate_2023_mp16_74,121.0
BE,Belgium,2023,revised_candidate_2023_mp16_74,118.0
BG,Bulgaria,2023,revised_candidate_2023_mp16_74,63.0
CY,Cyprus,2023,revised_candidate_2023_mp16_74,97.0
CZ,Czechia,2023,revised_candidate_2023_mp16_74,91.0
DE,Germany,2023,revised_candidate_2023_mp16_74,118.0
DK,Denmark,2023,revised_candidate_2023_mp16_74,126.0
EE,Estonia,2023,revised_candidate_2023_mp16_74,80.0
EL,Greece,2023,revised_candidate_2023_mp16_74,68.0
ES,Spain,2023,revised_candidate_2023_mp16_74,91.0
FI,Finland,2023,revised_candidate_2023_mp16_74,103.0
FR,France,2023,revised_candidate_2023_mp16_74,99.0
HR,Croatia,2023,revised_candidate_2023_mp16_74,78.0
HU,Hungary,2023,revised_candidate_2023_mp16_74,75.0
IE,Ireland,2023,revised_candidate_2023_mp16_74,218.0
IT,Italy,2023,revised_candidate_2023_mp16_74,98.0
LT,Lithuania,2023,revised_candidate_2023_mp16_74,86.0
LU,Luxembourg,2023,revised_candidate_2023_mp16_74,248.0
LV,Latvia,2023,revised_candidate_2023_mp16_74,70.0
MT,Malta,2023,revised_candidate_2023_mp16_74,109.0
NL,Netherlands,2023,revised_candidate_2023_mp16_74,131.0
PL,Poland,2023,revised_candidate_2023_mp16_74,77.0
PT,Portugal,2023,revised_candidate_2023_mp16_74,81.0
RO,Romania,2023,revised_candidate_2023_mp16_74,75.0
SE,Sweden,2023,revised_candidate_2023_mp16_74,111.0
SI,Slovenia,2023,revised_candidate_2023_mp16_74,91.0
SK,Slovakia,2023,revised_candidate_2023_mp16_74,74.0
