region_code,country,source_year,package_version,esp_pct,dfp_pct,lpi_score
AT,AT,2023,v47_final,25.97,77.17,4.0
BE,BE,2023,v47_final,31.81,79.6,4.0
BG,BG,2023,v47_final,15.1,23.43,3.2
CY,CY,2023,v47_final,23.5,70.86,3.2
CZ,CZ,2023,v47_final,24.67,79.84,3.3
DE,DE,2023,v47_final,22.2,57.22,4.1
DK,DK,2023,v47_final,36.67,96.22,4.1
EE,EE,2023,v47_final,22.33,84.89,3.4
EL,EL,2023,v47_final,20.01,52.01,3.4
ES,ES,2023,v47_final,33.62,71.45,3.9
FI,FI,2023,v47_final,30.49,94.48,4.0
FR,FR,2023,v47_final,16.84,72.41,3.9
HR,HR,2023,v47_final,30.17,61.88,3.3
HU,HU,2023,v47_final,23.11,65.52,3.3
IE,IE,2023,v47_final,35.07,83.77,3.3
IT,IT,2023,v47_final,19.09,51.55,3.7
LT,LT,2023,v47_final,38.89,75.73,3.4
LU,LU,2023,v47_final,13.44,71.14,3.4
LV,LV,2023,v47_final,19.74,83.74,3.4
MT,MT,2023,v47_final,32.41,67.38,3.2
NL,NL,2023,v47_final,30.44,95.13,4.0
PL,PL,2023,v47_final,17.97,59.09,3.4
PT,PT,2023,v47_final,17.97,58.88,3.3
RO,RO,2023,v47_final,12.92,21.89,3.2
SE,SE,2023,v47_final,38.07,84.49,4.0
SI,SI,2023,v47_final,23.89,60.69,3.3
SK,SK,2023,v47_final,18.44,57.72,3.3
