region_code,country,pc1_ef_score,mp_eshoppers_16_74_millions,mp_estimated_eshoppers_16_74,cbo_pct,screening_band
AT,Austria,1.064072423151036,4.9338356536,4933835.6536,69.21,Higher screening band
BE,Belgium,1.5977216547450095,6.454643043400001,6454643.043400001,62.41,Higher screening band
BG,Bulgaria,-2.875798822694392,2.1835387733,2183538.7733,27.4,Lower screening band
CY,Cyprus,-0.6106549149523967,0.4095488048,409548.8048,80.75,Lower screening band
CZ,Czechia,-0.05562177950006145,6.225115179200001,6225115.179200001,35.63,Middle screening band
DE,Germany,0.2516500902352847,47.7327696612,47732769.6612,20.25,Middle screening band
DK,Denmark,2.6980229698660683,3.8514404475,3851440.4475,39.88,Higher screening band
EE,Estonia,0.09449778146538408,0.7308731535999999,730873.1536,42.98,Middle screening band
EL,Greece,-1.2053463908963966,4.4262742062,4426274.2062,27.8,Middle screening band
ES,Spain,1.301021694841695,24.966203472,24966203.472,31.51,Higher screening band
FI,Finland,2.003025306322338,3.2134971108,3213497.1108,43.62,Higher screening band
FR,France,0.038408858890798356,37.5815297256,37581529.7256,38.66,Middle screening band
HR,Croatia,-0.2432347029833633,1.7151853768,1715185.3768,46.65,Lower screening band
HU,Hungary,-0.6641593932324023,5.089662426199999,5089662.4262,42.38,Lower screening band
IE,Ireland,0.8811667417532375,3.3369007319999997,3336900.732,55.23,Higher screening band
IT,Italy,-0.8161811509744205,22.3905841487,22390584.1487,37.69,Middle screening band
LT,Lithuania,1.0606215695095629,1.3036792667,1303679.2666999998,36.72,Higher screening band
LU,Luxembourg,-1.0604515854409136,0.4031445603,403144.5603,69.5,Middle screening band
LV,Latvia,-0.14463682027241168,0.8656543193999999,865654.3193999999,46.35,Middle screening band
MT,Malta,-0.018627628232137497,0.29148807569999996,291488.0757,63.44,Lower screening band
NL,Netherlands,2.021321517789796,12.2429342295,12242934.2295,34.4,Higher screening band
PL,Poland,-1.1214949445238638,17.963872339199998,17963872.339199997,12.63,Middle screening band
PT,Portugal,-1.2872745066910634,4.287942255,4287942.255,45.29,Lower screening band
RO,Romania,-3.09657697427765,7.185275525999999,7185275.525999999,18.73,Lower screening band
SE,Sweden,2.247644702475194,6.64639165,6646391.65,29.4,Higher screening band
SI,Slovenia,-0.7685830471780526,1.0403147624999998,1040314.7624999998,50.17,Lower screening band
SK,Slovakia,-1.2905326491958797,3.1842458467999997,3184245.8467999995,39.02,Lower screening band
