region_code,country,screening_band
AT,Austria,Higher screening band
BE,Belgium,Higher screening band
BG,Bulgaria,Lower screening band
CY,Cyprus,Lower screening band
CZ,Czechia,Middle screening band
DE,Germany,Middle screening band
DK,Denmark,Higher screening band
EE,Estonia,Middle screening band
EL,Greece,Middle screening band
ES,Spain,Higher screening band
FI,Finland,Higher screening band
FR,France,Middle screening band
HR,Croatia,Lower screening band
HU,Hungary,Lower screening band
IE,Ireland,Higher screening band
IT,Italy,Middle screening band
LT,Lithuania,Higher screening band
LU,Luxembourg,Middle screening band
LV,Latvia,Middle screening band
MT,Malta,Lower screening band
NL,Netherlands,Higher screening band
PL,Poland,Middle screening band
PT,Portugal,Lower screening band
RO,Romania,Lower screening band
SE,Sweden,Higher screening band
SI,Slovenia,Lower screening band
SK,Slovakia,Lower screening band
