region_code,country,pc1_ef_rank,gdp_pps_rank,rank_difference_pc1_minus_gdp,gdp_pps_index
LU,Luxembourg,21.0,1.0,20.0,248.0
IT,Italy,20.0,12.0,8.0,98.0
IE,Ireland,9.0,2.0,7.0,218.0
PT,Portugal,24.0,18.0,6.0,81.0
RO,Romania,27.0,22.5,4.5,75.0
SI,Slovenia,19.0,15.0,4.0,91.0
MT,Malta,13.0,9.0,4.0,109.0
CY,Cyprus,17.0,13.0,4.0,97.0
DE,Germany,10.0,6.5,3.5,118.0
AT,Austria,7.0,5.0,2.0,121.0
FR,France,12.0,11.0,1.0,99.0
SK,Slovakia,25.0,24.0,1.0,74.0
PL,Poland,22.0,21.0,1.0,77.0
NL,Netherlands,3.0,3.0,0.0,131.0
CZ,Czechia,14.0,15.0,-1.0,91.0
BG,Bulgaria,26.0,27.0,-1.0,63.0
BE,Belgium,5.0,6.5,-1.5,118.0
DK,Denmark,1.0,4.0,-3.0,126.0
EL,Greece,23.0,26.0,-3.0,68.0
HR,Croatia,16.0,20.0,-4.0,78.0
HU,Hungary,18.0,22.5,-4.5,75.0
FI,Finland,4.0,10.0,-6.0,103.0
SE,Sweden,2.0,8.0,-6.0,111.0
EE,Estonia,11.0,19.0,-8.0,80.0
ES,Spain,6.0,15.0,-9.0,91.0
LT,Lithuania,8.0,17.0,-9.0,86.0
LV,Latvia,15.0,25.0,-10.0,70.0
