excluded_region,rho,p_value,criterion_status
AT,0.5756521739130435,0.0032464428872563678,criterion met
BE,0.44869565217391305,0.027860041901524784,criterion met
BG,0.4513043478260869,0.02685552027560792,criterion met
CY,0.5113043478260869,0.010660889916722198,criterion met
CZ,0.49652173913043474,0.013587180235989135,criterion met
DE,0.468695652173913,0.020877632609712343,criterion met
DK,0.5165217391304348,0.009761613063737264,criterion met
EE,0.468695652173913,0.020877632609712343,criterion met
EL,0.46782608695652167,0.021148364845632338,criterion met
ES,0.4652173913043478,0.02197765456417165,criterion met
FI,0.5278260869565217,0.008027129921072611,criterion met
FR,0.5226086956521738,0.008792755659654788,criterion met
HR,0.49652173913043474,0.013587180235989135,criterion met
HU,0.48260869565217385,0.016914299258078327,criterion met
IE,0.4765217391304347,0.018565115014353994,criterion met
IT,0.47043478260869553,0.020344586936490456,criterion met
LT,0.4669565217391304,0.021421931678215295,criterion met
LV,0.4860869565217391,0.016026057350818954,criterion met
MT,0.4956521739130434,0.013778010050266383,criterion met
NL,0.4356521739130434,0.033343241979290644,criterion met
PL,0.48,0.01760648809201035,criterion met
PT,0.5243478260869565,0.00853108886118977,criterion met
SE,0.4356521739130434,0.033343241979290644,criterion met
SI,0.46434782608695646,0.0222598535139937,criterion met
SK,0.4991304347826086,0.013027663764128785,criterion met
