region_code,country,pc1_ef_score,lpi_score,screening_band,pc1_only_tertile_band,changed_baseline_vs_pc1_only,pc1_no_lpi_score,no_lpi_backbone_tertile_band,changed_baseline_vs_no_lpi
DK,Denmark,2.6980229698660683,4.1,Higher screening band,Higher screening band,False,2.154947395772293,Higher screening band,False
SE,Sweden,2.247644702475194,4.0,Higher screening band,Higher screening band,False,1.8272110075138899,Higher screening band,False
NL,Netherlands,2.021321517789796,4.0,Higher screening band,Higher screening band,False,1.5328384900158383,Higher screening band,False
FI,Finland,2.003025306322338,4.0,Higher screening band,Higher screening band,False,1.5121119278867174,Higher screening band,False
BE,Belgium,1.5977216547450095,4.0,Higher screening band,Higher screening band,False,1.0539484250958464,Higher screening band,False
ES,Spain,1.301021694841695,3.9,Higher screening band,Higher screening band,False,0.9041261749197105,Higher screening band,False
AT,Austria,1.064072423151036,4.0,Higher screening band,Higher screening band,False,0.41580222971857383,Middle screening band,True
LT,Lithuania,1.0606215695095629,3.4,Higher screening band,Higher screening band,False,1.561476836444573,Higher screening band,False
IE,Ireland,0.8811667417532375,3.3,Higher screening band,Higher screening band,False,1.5200220465595817,Higher screening band,False
MT,Malta,-0.018627628232137497,3.2,Lower screening band,Middle screening band,True,0.6588189272143044,Higher screening band,True
HR,Croatia,-0.2432347029833633,3.3,Lower screening band,Middle screening band,True,0.20954612398567804,Middle screening band,True
CY,Cyprus,-0.6106549149523967,3.2,Lower screening band,Middle screening band,True,-0.060332562329286424,Middle screening band,True
HU,Hungary,-0.6641593932324023,3.3,Lower screening band,Middle screening band,True,-0.3051016261960401,Middle screening band,True
SI,Slovenia,-0.7685830471780526,3.3,Lower screening band,Lower screening band,False,-0.4211183701080758,Middle screening band,True
PT,Portugal,-1.2872745066910634,3.3,Lower screening band,Lower screening band,False,-1.04250007033995,Lower screening band,False
SK,Slovakia,-1.2905326491958797,3.3,Lower screening band,Lower screening band,False,-1.044067561275319,Lower screening band,False
BG,Bulgaria,-2.875798822694392,3.2,Lower screening band,Lower screening band,False,-2.693554428043946,Lower screening band,False
RO,Romania,-3.09657697427765,3.2,Lower screening band,Lower screening band,False,-2.956477193796416,Lower screening band,False
DE,Germany,0.2516500902352847,4.1,Middle screening band,Middle screening band,False,-0.7138111139647281,Lower screening band,True
EE,Estonia,0.09449778146538408,3.4,Middle screening band,Middle screening band,False,0.3785984080916369,Middle screening band,False
FR,France,0.038408858890798356,3.9,Middle screening band,Middle screening band,False,-0.6193694922765522,Middle screening band,False
CZ,Czechia,-0.05562177950006145,3.3,Middle screening band,Middle screening band,False,0.39911284355952237,Middle screening band,False
LV,Latvia,-0.14463682027241168,3.4,Middle screening band,Middle screening band,False,0.09276168739247667,Middle screening band,False
IT,Italy,-0.8161811509744205,3.7,Middle screening band,Lower screening band,True,-1.224495131535974,Lower screening band,True
LU,Luxembourg,-1.0604515854409136,3.4,Middle screening band,Lower screening band,True,-0.9852424431071064,Lower screening band,True
PL,Poland,-1.1214949445238638,3.4,Middle screening band,Lower screening band,True,-1.0343010682093527,Lower screening band,True
EL,Greece,-1.2053463908963966,3.4,Middle screening band,Lower screening band,True,-1.120951462987896,Lower screening band,True
