region_code,country,source_year,esp_pct,dfp_pct,lpi_score,pc1_ef_score,pc1_ef_rank,screening_band,cbo_pct,mp_population_16_74,mp_online_shopping_pct,mp_estimated_eshoppers_16_74,mp_rank_16_74,mp_population_total,mp_estimated_eshoppers_total_optional,mp_rank_total_optional,mp_rank_shift_16_74_vs_total_optional,eti_pct,eti_dataset_code,gdp_pps_index,gdp_pps_rank,rank_difference_pc1_minus_gdp,equal_weight_z_score,equal_weight_rank,equal_weight_rank_shift_vs_pc1
DK,Denmark,2023,36.67,96.22,4.1,2.6980229698660683,1.0,Higher screening band,39.88,4326975.0,89.01,3851440.4475,15,5932654.0,5280655.3254,15,0,7.02,isoc_ec_evals (PC_TURN),126.0,4.0,-3.0,1.5652013928642414,1.0,0.0
SE,Sweden,2023,38.07,84.49,4.0,2.247644702475194,2.0,Higher screening band,29.4,7488892.0,88.75,6646391.65,8,10521556.0,9337880.95,8,0,10.47,isoc_ec_evals (PC_TURN),111.0,8.0,-6.0,1.3098040587120585,2.0,0.0
NL,Netherlands,2023,30.44,95.13,4.0,2.021321517789796,3.0,Higher screening band,34.4,13248495.0,92.41,12242934.2295,6,17811291.0,16459414.0131,6,0,10.2,isoc_ec_evals (PC_TURN),131.0,3.0,0.0,1.17103552316684,3.0,0.0
FI,Finland,2023,30.49,94.48,4.0,2.003025306322338,4.0,Higher screening band,43.62,4060522.0,79.14,3213497.1108,17,5563970.0,4403325.858,17,0,6.52,isoc_ec_evals (PC_TURN),103.0,10.0,-6.0,1.1612649280787164,4.0,0.0
BE,Belgium,2023,31.81,79.6,4.0,1.5977216547450095,5.0,Higher screening band,62.41,8576459.0,75.26,6454643.043400001,9,11742796.0,8837628.2696,9,0,9.48,isoc_ec_evals (PC_TURN),118.0,6.5,-1.5,0.9452845816016452,5.0,0.0
ES,Spain,2023,33.62,71.45,3.9,1.301021694841695,6.0,Higher screening band,31.51,36245940.0,68.88,24966203.472,3,48085361.0,33121196.6568,3,0,8.56,isoc_ec_evals (PC_TURN),91.0,15.0,-9.0,0.7737567764540828,6.0,0.0
AT,Austria,2023,25.97,77.17,4.0,1.064072423151036,7.0,Higher screening band,69.21,6836408.0,72.17,4933835.6536,12,9104772.0,6570913.9524,12,0,4.27,isoc_ec_evals (PC_TURN),121.0,5.0,2.0,0.6444595801752019,7.0,0.0
LT,Lithuania,2023,38.89,75.73,3.4,1.0606215695095629,8.0,Higher screening band,36.72,2140337.0,60.91,1303679.2666999998,21,2857279.0,1740368.6389,21,0,9.92,isoc_ec_evals (PC_TURN),86.0,17.0,-9.0,0.579130254544644,8.0,0.0
IE,Ireland,2023,35.07,83.77,3.3,0.8811667417532375,9.0,Higher screening band,55.23,3830235.0,87.12,3336900.732,16,5271395.0,4592439.324,16,0,19.67,isoc_ec_evals (PC_TURN),218.0,2.0,7.0,0.45868736008496974,9.0,0.0
DE,Germany,2023,22.2,57.22,4.1,0.2516500902352847,10.0,Middle screening band,20.25,61606569.0,77.48,47732769.6612,1,83118501.0,64400214.57480001,1,0,7.18,isoc_ec_evals (PC_TURN),118.0,6.5,3.5,0.2128556623164665,10.0,0.0
EE,Estonia,2023,22.33,84.89,3.4,0.09449778146538408,11.0,Middle screening band,42.98,999553.0,73.12,730873.1536,24,1365884.0,998734.3808000002,24,0,7.54,isoc_ec_evals (PC_TURN),80.0,19.0,-8.0,0.021516015872879324,12.0,1.0
FR,France,2023,16.84,72.41,3.9,0.038408858890798356,12.0,Middle screening band,38.66,48851592.0,76.93,37581529.7256,2,68277210.0,52525657.653000005,2,0,3.89,isoc_ec_evals (PC_TURN),99.0,11.0,1.0,0.05557403153221544,11.0,-1.0
CZ,Czechia,2023,24.67,79.84,3.3,-0.05562177950006145,14.0,Middle screening band,35.63,8013794.0,77.68,6225115.179200001,10,10827529.0,8410824.5272,10,0,9.23,isoc_ec_evals (PC_TURN),91.0,15.0,-1.0,-0.06971430560553056,14.0,0.0
LV,Latvia,2023,19.74,83.74,3.4,-0.14463682027241168,15.0,Middle screening band,46.35,1393071.0,62.14,865654.3193999999,23,1895239.0,1177701.5146,23,0,5.93,isoc_ec_evals (PC_TURN),70.0,25.0,-10.0,-0.1132287064727883,15.0,0.0
IT,Italy,2023,19.09,51.55,3.7,-0.8161811509744205,20.0,Middle screening band,37.69,43808617.0,51.11,22390584.1487,4,58997201.0,30153469.4311,4,0,4.75,isoc_ec_evals (PC_TURN),98.0,12.0,8.0,-0.43148676866013247,19.0,-1.0
LU,Luxembourg,2023,13.44,71.14,3.4,-1.0604515854409136,21.0,Middle screening band,69.5,505257.0,79.79,403144.5603,26,660809.0,527259.5011000001,26,0,,isoc_ec_evals (PC_ETURN fallback),248.0,1.0,20.0,-0.621404727021697,21.0,0.0
PL,Poland,2023,17.97,59.09,3.4,-1.1214949445238638,22.0,Middle screening band,12.63,27928906.0,64.32,17963872.339199997,5,36753736.0,23640002.9952,5,0,6.11,isoc_ec_evals (PC_TURN),77.0,21.0,1.0,-0.6445311846786884,22.0,0.0
EL,Greece,2023,20.01,52.01,3.4,-1.2053463908963966,23.0,Middle screening band,27.8,7693854.0,57.53,4426274.2062,13,10401868.0,5984194.6604,13,0,5.05,isoc_ec_evals (PC_TURN),68.0,26.0,-3.0,-0.6853785725056213,23.0,0.0
MT,Malta,2023,32.41,68.05,3.2,-0.018627628232137497,13.0,Lower screening band,63.44,424353.0,68.69,291488.0757,27,542051.0,372334.8319,27,0,5.95,isoc_ec_evals (PC_TURN),109.0,9.0,4.0,-0.04818860279317905,13.0,0.0
